Year,Cause,Age_Range,ISO_Code,Sex,Deaths,Age_and_Sex_Population,Country
2017,Intentional self-harm,0,GBR,Female,0,743552,United Kingdom
2017,Intentional self-harm,0,GBR,Male,0,782850,United Kingdom
2017,Intentional self-harm,1,GBR,Female,0,768444,United Kingdom
2017,Intentional self-harm,1,GBR,Male,0,810126,United Kingdom
2017,Intentional self-harm,14-Oct,GBR,Female,16,3640314,United Kingdom
2017,Intentional self-harm,14-Oct,GBR,Male,16,3826458,United Kingdom
2017,Intentional self-harm,15-19,GBR,Female,104,3605202,United Kingdom
2017,Intentional self-harm,15-19,GBR,Male,208,3803268,United Kingdom
2017,Intentional self-harm,2,GBR,Female,0,770160,United Kingdom
2017,Intentional self-harm,2,GBR,Male,0,811200,United Kingdom
2017,Intentional self-harm,20-24,GBR,Female,136,4097544,United Kingdom
2017,Intentional self-harm,20-24,GBR,Male,430,4316924,United Kingdom
2017,Intentional self-harm,25-29,GBR,Female,144,4495040,United Kingdom
2017,Intentional self-harm,25-29,GBR,Male,624,4588936,United Kingdom
2017,Intentional self-harm,3,GBR,Female,0,778890,United Kingdom
2017,Intentional self-harm,3,GBR,Male,0,819262,United Kingdom
2017,Intentional self-harm,30-34,GBR,Female,180,4438064,United Kingdom
2017,Intentional self-harm,30-34,GBR,Male,624,4406504,United Kingdom
2017,Intentional self-harm,35-39,GBR,Female,188,4312068,United Kingdom
2017,Intentional self-harm,35-39,GBR,Male,644,4252336,United Kingdom
2017,Intentional self-harm,4,GBR,Female,0,798192,United Kingdom
2017,Intentional self-harm,4,GBR,Male,0,838806,United Kingdom
2017,Intentional self-harm,40-44,GBR,Female,186,4091470,United Kingdom
2017,Intentional self-harm,40-44,GBR,Male,742,4027264,United Kingdom
2017,Intentional self-harm,45-49,GBR,Female,214,4639724,United Kingdom
2017,Intentional self-harm,45-49,GBR,Male,922,4510138,United Kingdom
2017,Intentional self-harm,9-May,GBR,Female,0,4016316,United Kingdom
2017,Intentional self-harm,9-May,GBR,Male,0,4210576,United Kingdom
2017,Intentional self-harm,50-54,GBR,Female,250,4739254,United Kingdom
2017,Intentional self-harm,50-54,GBR,Male,872,4596978,United Kingdom
2017,Intentional self-harm,55-59,GBR,Female,158,4240990,United Kingdom
2017,Intentional self-harm,55-59,GBR,Male,628,4127636,United Kingdom
2017,Intentional self-harm,60-64,GBR,Female,136,3670414,United Kingdom
2017,Intentional self-harm,60-64,GBR,Male,428,3526914,United Kingdom
2017,Intentional self-harm,65-69,GBR,Female,138,3582808,United Kingdom
2017,Intentional self-harm,65-69,GBR,Male,320,3364388,United Kingdom
2017,Intentional self-harm,70-74,GBR,Female,102,3246634,United Kingdom
2017,Intentional self-harm,70-74,GBR,Male,256,2975492,United Kingdom
2017,Intentional self-harm,75-79,GBR,Female,90,2350458,United Kingdom
2017,Intentional self-harm,75-79,GBR,Male,204,2003416,United Kingdom
2017,Intentional self-harm,80-84,GBR,Female,52,1848704,United Kingdom
2017,Intentional self-harm,80-84,GBR,Male,102,1421538,United Kingdom
2017,Intentional self-harm,85-89,GBR,Female,36,NA,United Kingdom
2017,Intentional self-harm,85-89,GBR,Male,108,NA,United Kingdom
2017,Intentional self-harm,90-94,GBR,Female,22,NA,United Kingdom
2017,Intentional self-harm,90-94,GBR,Male,52,NA,United Kingdom
2017,Intentional self-harm,95+,GBR,Female,8,NA,United Kingdom
2017,Intentional self-harm,95+,GBR,Male,2,NA,United Kingdom
2017,Intentional self-harm,All,GBR,Female,2160,66916856,United Kingdom
2017,Intentional self-harm,All,GBR,Male,7182,65163602,United Kingdom
2017,Intentional self-harm,Unknown,GBR,Female,0,0,United Kingdom
2017,Intentional self-harm,Unknown,GBR,Male,0,0,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,0,GBR,Female,0,743552,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,0,GBR,Male,0,782850,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,1,GBR,Female,0,768444,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,1,GBR,Male,0,810126,United Kingdom
2017,Mental and behavioural disorders due to psychoactive substance use,14-Oct,GBR,Female,0,3640314,United Kingdom
